,Emotion,Clean_Text
21496,sadness,sad missing forthcoming whiskies 
9635,joy,babysitting small child big attitude
11825,sadness,  ah dang water aerobics/basket weaving class meets 4 months
8409,joy,quotdo afraid behold briing good tidings great joy peoplequot luke 2:10 #peace #love
34337,fear,gleich muss ich als volti papa auch aufs pferd und turnen #fail #fuck
31485,joy,delighted gained complete attention  lori squirmed seat 
3369,joy,nw: laugh pain | kevin heart
23588,sadness,terminate training suited it sad this wanted finish training
5453,joy,  playing month old nephew smile/laugh best feeling
21186,fear,love trapattoni wants avoid native italy fabio wants duck spain netherlands portugal amp france #euro2012
24356,fear,looking job felt lot fear fear greater found it
9721,neutral,library card 
23860,joy,advertisements appeared novoye russkoye weekend  causing buzz excitement soviet expatriate enclave brighton beach  known little odessa 
6696,fear,fear allah trust allah #hope
15334,sadness,wish long hair #growgrowgrow
24594,fear,received representations matter aware disquiet groups hon gentleman described 
27339,fear,oap women dominate post office queue amp guard lives
16205,sadness,ll use locker airport trailed despondent sigh 
32217,joy,lights up officially christmas
27818,joy,helped mommy christmas decorations cant feel hands
20527,anger,perfect expressing limits 140 chars hand think twice sending theres pause button
1782,joy,world 80 days + dove = sunday afternoon
13777,sadness,uscire di casa con 60 cent con la convinzione di prendere un bueno alla macchinetta e trovare la fila dei bueno vuota #truestory
12751,joy,  currently im freezing cold nose started running im assuming ive got hot sweats come later
10988,joy,excited message weekend    jesus joy #peace
19582,anger,offended took personally 
29670,sadness, id better try store 
33064,sadness,  aww it uk wait 3 months film
14687,joy,mehh watch videos legalities nursing home staff oh
12031,joy,returning school rejoining girlfriend 3 months separation summer
17350,joy,progressive house collection 20  sheer
22254,joy,otter box
4981,fear,believe lies look eyes scared
18439,joy,  let best you power steal
28728,sadness,super upset cant support basketball girls tonight game good luck tonight girls
5979,joy,’ bargaining  house like river costs double price 
23144,neutral,working experience  biggest lesson learned deal people walks life 
29492,neutral,sure 
17561,joy,weekend babysitting lol mention   wants pull nighter saturday study excuse me #nerd
20444,fear,scene shooting house afraid armed men confronting discover reason incident
9363,anger,brother send transport money resume studies time university
24598,anger,indonesian officials somewhat miffed friday mayor hanover  took occasion welcoming suharto lecture human rights violations indonesia 
3493,joy,wait eat spaghetti watch tv hours worrying exam tonight #lsu
33853,joy,im grateful place friends here #peace
26617,joy,fucking extremely full
34607,sadness,sad slightly amused read recent letter reader skilled worker offered 3 hour 
33884,anger,condition tongue works faster mind hold regret hurting lines said
30856,sadness,stared torment  fury  despair face  knew clare forgive 
8855,fear,hush puppy amp step
25937,anger,rihanna sampling chase amp status saxon album
15316,joy,  im kind stuck couch sleeping/twitching dogs
7504,sadness,life consumed work work midnight weekends now kill me social life gone
11208,fear,  supposed people public servant teach you #tpp
14859,anger,anger men inability human (not men)
18319,anger,day im going write feminism met mother
7237,fear,supporters dr mcnab exchanged glances dismay words heard 
19137,joy,twin brother girl named azizah im home bibik 
26014,anger,mau sebagus apa pun gadget yg lo punya nggak akan berguna jika signal 3g nya nggak dapet #sigh
27308,neutral,yes  
16579,anger, building point were im finna start hitting niggas 
11026,joy,drop scotch occasional periods selfcriticism helped happy  time happy 
17080,fear,love love love da onli thing truly
2572,sadness,im upset clemson cry sleep tonight :(
24013,sadness,8 yrs old lebron     shaq retired active nba player dunked antoine carr
20642,joy,passsed msc board exams class expected
2384,joy, 1878  deaf education greenock faced crisis noone able continue teach children  parent happy child taught sign language 
11632,fear,23 loyal followers know expected big things   faggot cant answer
16591,neutral,usually school 
33112,anger,read newspaper student lodging fund going build new appartments refugees (in opinion states affair) fractoin students find appartment
34751,anger,grrr ive lost necessary microsds folders music pics videos wallpapers research documents handbooks studies
19463,joy,goin home fot time school school started
21321,anger, nt cross jenny   james said reading mind 
25999,joy,love try talk past theyre like: quotwtf wanna talk you gtfo gt:oquot  
32258,anger,sister cecilia flushed vexation 
12838,joy,hour away   stop casey grab french vanilla cappachino  #backontheroad
7147,neutral,course 
16504,neutral,difference 
32750,joy,60 min de pour commencer la journée ça le fait
3096,neutral,
13502,joy,great going bed 1162 means lose 102 week world ate wanted weekend
6787,sadness,hope  im caught short 
13328,joy,devised bed roaring fire improvement ice block feeling night
30773,sadness,d skinful nt particularly noticing mood saw heard  described kind mournful whistling coming deep wood  
25096,joy,wonder person feels enter eternal rest #fear rest easy mother francis overton
4781,joy,share year christmas family story memory
24416,anger,day school traditionally celebrated singing song students leaving song me things irritated lot
13562,joy,sniffily dismayed delight consumerism sheeplike attitude reactionary rubbish papers 
7578,neutral,pardon 
24024,joy,boss called said work today 
22323,joy,so teachers decided homework semester week
17967,anger,football match team rude hurt team members me coach prejudiced punished unreasonably later fought match cut short
21499,fear,wait return factor tomorrow wife
15737,joy,talking close friend
26104,sadness,sister died fire accident home
12657,fear,theres avid photographer parties determined shots
11969,neutral,sure 
9653,joy,quot  quot  want life #change #attitude”quot whoop whoop :)
12725,sadness,disappointed 
10419,joy,  yeah hope work 45 hours haha nighty night girl
8968,sadness,quotsometimes takes know #happiness noise #appreciate #silence absence value #presencequot ~ unknown #fact #sotrue
7175,fear,remember
8549,fear,“  afraid tomorrow seen yesterday love today #less” #nofear
17173,fear,quot  factor use best game watchquot
22615,sadness,’ sorry ’ 
13106,joy,day class semester now 6 finals
3585,fear,order desire greater #failure ~bill cosby
15564,fear,chased big dog near house
